Aspirate 30 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=300, pressure=-100, pipette_tip_type=50),3.37,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-446250, velocity='300000'),0.95,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=100, turn_off_air_valve=True),4.1,
Wait 3 minutes,delay,180.0,
Wait 60 seconds,delay,60,
Wait 240 seconds,delay,240,
Wait 60 seconds,delay,60,
Wait 240 seconds,delay,240,
Wait 60 seconds,delay,60,
Wait 240 seconds,delay,240,
Wait 60 seconds,delay,60,
Wait 240 seconds,delay,240,
Wait 60 seconds,delay,60,
Wait 240 seconds,delay,240,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),16.97,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),23.46,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=81783, velocity='800000'),5.07,
Aspirate 10 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=100, pressure=-100, pipette_tip_type=50),3.24,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),28.0,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=91759, velocity='800000'),4.91,
Aspirate 10 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=100, pressure=-100, pipette_tip_type=50),3.21,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),24.34,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=144386, velocity='800000'),5.13,
Aspirate 200 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=2000, pressure=-100, pipette_tip_type=200),4.09,
Dispense 95 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=950, pressure=100, turn_off_air_valve=True),4.2,
Dispense 95 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=950, pressure=100, turn_off_air_valve=True),4.19,
