Seyonic Pipettor Initializing...,Fri Aug 25 15:13:17 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:39:37 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:39:38 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:39:41 2023,
close_valve(channel=0),Fri Aug 25 15:39:42 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:39:43 2023,
dispense(pressure=100),Fri Aug 25 15:39:44 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:39:44 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:39:46 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:39:48 2023,
close_valve(channel=0),Fri Aug 25 15:39:49 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:39:50 2023,
dispense(pressure=100),Fri Aug 25 15:39:51 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:39:51 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:39:53 2023,
set_pressure(pressure=-8; direction=None),Fri Aug 25 15:39:55 2023,
close_valve(channel=0),Fri Aug 25 15:39:56 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:39:57 2023,
dispense(pressure=20),Fri Aug 25 15:39:59 2023,
set_pressure(pressure=20; direction=1),Fri Aug 25 15:39:59 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:40:01 2023,
dispense(pressure=20),Fri Aug 25 15:40:06 2023,
set_pressure(pressure=20; direction=1),Fri Aug 25 15:40:06 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:40:08 2023,
dispense(pressure=100),Fri Aug 25 15:41:14 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:41:14 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:41:16 2023,
